timestamp,power_usage_mW
1733672061028,235850
1733672092365,163163
1733672123675,227316
1733672153723,150886
1733672184886,154817
1733672216144,175954
1733672247454,156341
1733672278818,160484
1733672310121,155588
1733672341420,231593
1733672372697,159539
1733672403938,256482
1733672435121,181176
1733672466351,227342
1733672497564,236829
1733672528845,159821
1733672559976,133001
1733672591131,344914
1733672622347,159505
1733672653565,219050
1733672684785,327894
1733672715986,344108
1733672747126,301944
1733672778341,157247
1733672809550,156820
1733672840825,344581
1733672871958,216267
1733672903228,133345
1733672934401,326710
1733672965531,344596
1733672996730,221438
1733673027882,156480
1733673059036,226399
1733673090242,286165
1733673121420,218532
1733673152620,344278
1733673183000,158811
1733673214294,210024
1733673245582,155036
1733673276879,152445
1733673308165,204151
1733673339484,221010
1733673370887,208251
1733673402243,154207
1733673433531,152397
1733673464803,154807
1733673496207,159342
1733673527504,189452
1733673558772,261629
1733673590061,157033
1733673621415,192553
1733673652792,196273
1733673684088,150393
1733673715316,154479
1733673746629,180392
1733673777913,154684
1733673809209,258276
1733673840470,137785
1733673871779,155259
1733673903038,153174
1733673934256,148701
1733673965568,237715
1733673996879,223889
1733674028227,155775
1733674059679,214454
1733674090965,249402
1733674120976,238405
1733674152186,152477
1733674183392,148470
1733674214692,206001
1733674246058,234748
1733674277374,153520
1733674308656,343972
1733674339798,140197
1733674370918,185210
1733674402084,154670
1733674433205,344699
1733674464412,156601
1733674495561,271971
1733674526801,156076
1733674558001,156349
1733674589350,343427
1733674620502,342470
1733674651707,229026
1733674682871,133259
1733674714029,343721
1733674745214,156173
1733674776487,143179
1733674807711,146847
1733674838828,348199
1733674870106,344871
1733674900729,180558
1733674932026,246977
1733674963309,152670
1733674994525,190819
1733675025802,191411
1733675057074,156351
1733675088361,240100
1733675119629,153810
1733675149635,139261
1733675180971,157643
1733675212298,153492
1733675243486,245524
1733675274879,176738
1733675306146,154454
1733675337481,140170
1733675368811,236269
1733675400110,234451
1733675431432,152403
1733675462795,164848
1733675494074,151852
1733675525279,248728
1733675556608,157310
1733675587938,203230
1733675619302,196390
1733675650608,140048
1733675681807,175125
1733675713091,154537
1733675744406,217850
1733675775690,151693
1733675806882,170811
1733675838108,232464
1733675869392,261920
1733675900745,158163
1733675931984,153879
1733675963184,151756
1733675994522,153031
1733676025707,153138
1733676056890,343258
1733676088068,346913
1733676119226,133413
1733676150402,155925
1733676181592,149300
1733676212724,131095
1733676243882,133364
1733676275036,343714
1733676306193,205247
1733676337346,344283
1733676368487,344669
1733676399771,154304
1733676430967,154076
1733676462117,132235
1733676493355,343530
1733676524479,344373
1733676555690,323189
1733676586872,145627
1733676618023,306178
1733676648521,155067
1733676679808,249287
1733676711088,154774
1733676742415,153443
1733676773713,157016
1733676805066,245905
1733676835097,195002
1733676866426,215385
1733676896434,218521
1733676927705,215607
1733676958977,158064
1733676990251,153222
1733677021528,152820
1733677052816,185002
1733677083994,255819
1733677115319,164879
1733677146651,157274
1733677178047,154433
1733677209250,151653
1733677240530,154766
1733677271836,211860
1733677303070,204217
1733677334429,181004
1733677365637,186773
1733677396885,153409
1733677428187,173738
1733677459595,142733
1733677490851,154429
1733677522117,205460
1733677552152,153222
1733677583513,227915
1733677614783,153445
1733677646195,201366
1733677677475,153094
1733677708805,240262
1733677740162,215710
1733677771394,241160
1733677802526,153473
1733677833742,342028
1733677864912,345359
1733677896094,341946
1733677927227,132386
1733677958348,343520
1733677989517,138316
1733678020698,344392
1733678051875,344068
1733678083099,326718
1733678114305,343542
1733678145472,342821
1733678176688,170767
1733678207868,226567
1733678239099,132483
1733678270262,146984
1733678301440,346481
1733678332656,147246
1733678363774,154030
1733678395192,149756
1733678426475,210241
1733678457832,153026
1733678489226,152497
1733678520509,159496
1733678551825,218076
1733678583089,166873
1733678614298,156938
1733678645571,194805
1733678676845,218806
1733678708069,228680
1733678739337,149607
1733678770566,152884
1733678801908,153471
1733678833275,132350
1733678864560,179955
1733678895858,235936
1733678927202,153829
1733678958436,153561
1733678989623,231400
1733679020883,154823
1733679052071,152131
1733679083294,181701
1733679114610,173267
1733679145832,152464
1733679175860,156963
1733679207057,154057
1733679238472,234157
1733679269805,232596
1733679301086,217128
1733679332399,154790
1733679363691,255442
1733679394989,157099
1733679426189,212734
1733679457458,180562
1733679488824,263115
1733679520083,163483
1733679551280,141345
1733679582481,344260
1733679613617,296267
1733679644776,343683
1733679676033,320283
1733679707187,342805
1733679738489,345246
1733679769614,343881
1733679800766,148600
1733679831970,342719
1733679863150,165290
1733679894348,344504
1733679925505,187585
1733679956741,157800
